paper_id,title,comment,abstract,image,category
11,eat2pic: An Eating-Painting Interactive System to Nudge Users into Making Healthier Diet Choices,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",Coming Soon,FALSE,I
12,PianoSyncAR: Enhancing Piano Learning through Visualizing Synchronized Hand Pose Discrepancies in Augmented Reality,ISMAR2023,"運動の技能習得において, 学習者が自身の動作と目標の動作との時間的及び空間的な差分を認識し学習することが一般的である. しかし, 自由度の高い緻密な動作では, これらの差分を正しく理解し修正することが困難である. 特に洗練されたスキルを持つ中上級者の場合では, より細かな修正やさらなる上達を求められるため, この問題は顕著となる. 本研究では, ピアノの学習における体の動きを効率よく最適化するための拡張現実(AR)システム「PianoSyncAR」を提案する. 提案システムは, 教師の手の姿勢を学習者の手に重畳表示している. ユーザ実験では, １２人のピアニストを対象としてシステムの有用性を評価する. その結果, 映像ベースのスキル学習方法である従来のタブレット画面に対して提案システムにはいくつかの利点が示され, ピアノ演奏の技術向上のための補助的なツールとしてARトレーニングの可能性を示している. ",TRUE,I
13,CatAlyst: Domain-Extensible Intervention for Preventing Task Procrastination Using Large Generative Models,CHI2023,本論文では，大規模生成モデルを用いて知的タスクの「Procrastination（先延ばし）」を減らすインタラクションシステムCatAlystについて述べる．CatAlystは先延ばししようとしているタスクへのエンゲージメントを高めるべく，中断した作業内容の続きを生成モデルで生成して提示する．これは，大規模生成モデルを個々のタスクに合わせてチューニングせずとも，ユーザの行動変容を促す介入として用いることで，多様なタスクでユーザの知的生産活動を支援するというアプローチとなっている．,TRUE,I
14,BirdViewAR: Surroundings-aware Remote Drone Piloting Using an Augmented Third-person Perspective,CHI2023,我々は拡張三人称視点を用いてドローンパイロットの遠隔操縦時における周囲状況理解を支援するシステム，BirdViewARを提案する．提案手法では，パイロットが操縦する主ドローンの上空にもう1台副ドローンを追従飛行させ，そこから得られる三人称視点にARで空間情報を重畳することで，パイロットの空間理解を向上させる．また，副ドローンを最適配置することで，常に主ドローンやその目的地を映した三人称視点を提示する．屋外での被験者実験の結果，提案手法はパイロットの状況理解を向上させることが示された．,TRUE,I
15,PathFinder: Designing a Map-less Navigation System for Blind People in Unfamiliar Buildings,CHI2023,案内ロボットは視覚障害者の移動支援技術として有効であるが，事前に地図を準備する手間がかかる．本研究では，事前に地図を必要とせず，途中の交差点の形状や看板に書いてある文字を読み上げることで視覚障害者が建物内を移動することを支援する案内ロボットを提案する．ユーザの主観評価から，提案手法を使うことで，自信を持って不慣れな建物で目的地まで行くことが出来ることが示された．,TRUE,I
16,asEars: Designing and Evaluating the User Experience of Wearable Assistive Devices for Single-Sided Deafness,CHI2023,Coming Soon,FALSE,I
17,Inkjet 4D Print: Self-folding Tessellated Origami Objects by Inkjet UV Printing,ACM Transactions on Graphics,Inkjet 4D Printとは，熱収縮するシートの表裏にインクジェット方式のUVプリンタで2次元パターンを印刷し，その後シート全体を加熱することによって，3次元の折紙テセレーションを得る自己折り技術である．本技術はFDM方式の3Dプリンタなどを用いた従来手法に比べ(1)1200倍以上である8万個以上の面を折ることができ，(2)2.8倍高速に造形でき，(3)必要に応じてフルカラー装飾を付与できる．また，与えられた3Dモデルに折れる印刷パターンを自動設計するツールも開発した．,TRUE,I
18,MusicCommentVisualizer: 音楽動画へのコメントの可視化に基づく音楽推薦・鑑賞インタフェース,本研究では音楽動画へのコメントを利用した音楽推薦・鑑賞インタフェースを提案されています。ソーシャルコメントを元に感情と状況の２つの側面で分類しユーザーの状態に合わせて音楽を推薦するシステムは一定の新規性が認められます。有用性が確認できない点やアルゴリズムの詳細説明が不足している点など懸念はあるものの、提案システムのクオリティは高く、不採録とするほどの際立った問題はないと判断し、ショート採録と判定されました。,本研究では、音楽動画に対するYouTubeコメントを可視化しながら，ユーザの状況や感情に合った音楽推薦と音楽鑑賞を実現するインタフェースMusicCommentVisualizerを提案する．システムは音楽動画へのコメントから，状況と感情に関する単語を自動的に抽出して分類し，インタラクティブに操作可能な出現頻度分布として可視化する．さらに，その分布からユーザによって選択された状況と感情に基づいて，音楽プレイリストを生成したり，それらの楽曲が推薦された理由となるコメントを表示したりできる．,TRUE,S
19,潜在空間の関心次元探索によるスワイプ操作に基づく嗜好画像生成,GANによる嗜好画像生成におけるユーザの嗜好を，スワイプ操作を用いて効率的に行う手法を提案し，その手法に沿った生成アルゴリズムとして多腕バンディットアルゴリズムを適用することで，シンプルなベイズ最適化手法よりもよりユーザの嗜好性を反映した画像を生成できることを示している論文です．,スマートフォンを用いてユーザの好みの画像（嗜好画像）を生成する新しい方法を提案する。ユーザはスワイプ操作によって画像の好き嫌いを表現する。その情報を基に、システムはユーザの好みを推定し、新しい画像を生成する。提案手法では、PCA分析と多腕バンディットアルゴリズムを利用して、GANの潜在空間を効率的に探索する。実験の結果、提案手法はベースラインと比較して、効率的に嗜好画像を生成できることがわかった。また、ユーザの嗜好は画像の比較によって動的に変化することなどを明らかにした。,TRUE,L
20,動いている人の視線だけを惹きつけるモザイク投影手法,高速のプロジェクタでモザイク状の模様を高速に変化させて投影することで、ユーザ側に特殊な装置を必要とせず、動いている人にだけ注目を集めるような情報提示手法を提案している。有用性の立証が不十分であるものの、新しい手法の提案としてはWISSで議論する意義があるという結論になった。以上の結果から、ショート採録（条件なし）と判断された。,Coming Soon,TRUE,S
21,LensTouch: スマートグラスのレンズ面を使った入力手法,本研究の新規性は，スマートグラスのレンズ面にタッチパッドを付けることでタッチ入力を実現した点にあると考えられます．既存研究としても，VR HMDではGugenheimerらのFaceTouchがありますが，See-through HMDであまり見られません．また一般的にはレンズへのタッチは指がぼやけるため入力が不正確となると思われますが，本論文では必ずしもそうではなく比較的精度が高いという結果が出ている点は評価されます．一方，有用性に関して，本手法そのものの精度は述べられていますが，他の方式，例えばバーチャルキーボードとの入力精度・速度の比較が必要と思われます．,スマートグラスは，AR体験や大画面での映画観賞などを可能にするデバイスである．主な入力手法として，音声やジェスチャでの入力があるが，いずれも入力の制限や入力速度の遅さなどの問題がある．この問題に対し本論文では，レンズ面でタッチ入力を行うことでスマートグラスへの入力語彙を増やすLensTouchを提案し，実装，評価実験を行った．また，アプリケーション例としてテキスト入力，音楽プレーヤ，ゲームの3つを作成した．,TRUE,S
22,スマートウォッチの加速度センサを用いたThumb-to-fingerジェスチャ認識に基づく片手文字入力手法,不明瞭な点はあるものの，ジェスチャのデザイン，予備評価による適切なジェスチャセットの選定，評価実験と丁寧に書かれており，スマートウォッチ内蔵センサのみを用いたハンドジェスチャの提案として充分採録に値するとすべての査読者に判断されました．,Coming Soon,FALSE,S
